,Julian Day,Julian Day QC,Latitude,Longitude,Position QC,Pressure,Pressure QC,Temperature Adjusted,Temperature Adjusted QC,Temperature,Temperature QC,Salinity Adjusted,Salinity Adjusted QC,Salinity,Salinity QC,Oxygen,Oxygen QC,Nitrate,Nitrate QC,pH,pH QC,Yearday
495,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1349.10009765625,1.0,4.176286185539102,1.0,4.28439998626709,1.0,34.598200578277584,1.0,34.43199920654297,1.0,180.68284606933594,1.0,32.374107360839844,1.0,7.8407769203186035,1.0,130.32278936128296
496,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1399.5,1.0,3.9407024196702594,1.0,4.051000118255615,1.0,34.612531979110095,1.0,34.44599914550781,1.0,171.43106079101562,1.0,33.03598403930664,1.0,7.834324836730957,1.0,130.32278936128296
497,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1449.4000244140625,1.0,4.046095449937815,1.0,4.163000106811523,1.0,34.68005686228896,1.0,34.51300048828125,1.0,165.06497192382812,1.0,33.43400573730469,1.0,7.821978569030762,1.0,130.32278936128296
498,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1499.7000732421875,1.0,3.8616603249071146,1.0,3.981300115585327,1.0,34.70337028810319,1.0,34.5359992980957,1.0,160.6039276123047,1.0,33.6650505065918,1.0,7.820986747741699,1.0,130.32278936128296
499,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1549.10009765625,1.0,3.662022444990119,1.0,3.783900022506714,1.0,34.717575387255245,1.0,34.54999923706055,1.0,161.13705444335938,1.0,34.046836853027344,1.0,7.820038795471191,1.0,130.32278936128296
500,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1598.9000244140625,1.0,3.5698588684939137,1.0,3.6953999996185303,1.0,34.74178882821295,1.0,34.57400131225586,1.0,161.21583557128906,1.0,34.04326248168945,1.0,7.819411277770996,1.0,130.32278936128296
501,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1649.0,1.0,3.3500244260247283,1.0,3.477299928665161,1.0,34.7479179158409,1.0,34.58000183105469,1.0,164.46107482910156,1.0,33.65037536621094,1.0,7.821923732757568,1.0,130.32278936128296
502,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1699.4000244140625,1.0,3.0911001677726673,1.0,3.219399929046631,1.0,34.74902994695339,1.0,34.58100128173828,1.0,168.0681915283203,1.0,33.87384796142578,1.0,7.824854373931885,1.0,130.32278936128296
503,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1748.9000244140625,1.0,2.998621803638036,1.0,3.1303000450134277,1.0,34.77023016720597,1.0,34.60200119018555,1.0,169.77391052246094,1.0,33.57530212402344,1.0,7.828311920166016,1.0,130.32278936128296
504,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1799.800048828125,1.0,2.9180115912131277,1.0,3.053299903869629,1.0,34.78834842094172,1.0,34.619998931884766,1.0,171.38401794433594,1.0,33.2972526550293,1.0,7.832396030426025,1.0,130.32278936128296
505,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1849.4000244140625,1.0,2.8576867998465527,1.0,2.996799945831299,1.0,34.81047113066863,1.0,34.641998291015625,1.0,173.40805053710938,1.0,32.93613052368164,1.0,7.838591575622559,1.0,130.32278936128296
506,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1898.9000244140625,1.0,2.804356108897778,1.0,2.9474000930786133,1.0,34.833586648065484,1.0,34.665000915527344,1.0,175.85958862304688,1.0,32.43503952026367,1.0,7.84493350982666,1.0,130.32278936128296
507,2019-05-11 07:44:49.000814848,1,-35.025,29.988,1,1948.300048828125,1.0,2.7532806686137445,1.0,2.9001998901367188,1.0,34.849645174409126,1.0,34.680999755859375,1.0,180.1094970703125,1.0,31.893735885620117,1.0,7.851932048797607,1.0,130.32278936128296
514,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,5.860000133514404,1.0,24.90644746716136,1.0,24.917999267578125,1.0,35.436559723672985,1.0,35.27000045776367,1.0,205.17620849609375,1.0,0.35196882486343384,1.0,8.050199508666992,1.0,140.28509260088296
517,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,11.75999927520752,1.0,24.907171207292482,1.0,24.920000076293945,1.0,35.436565584922974,1.0,35.27000045776367,1.0,205.19271850585938,1.0,0.2739710211753845,1.0,8.050036430358887,1.0,140.28509260088296
519,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,15.859999656677246,1.0,24.911288302517374,1.0,24.924999237060547,1.0,35.436549734747054,1.0,35.27000045776367,1.0,205.03829956054688,1.0,0.32284462451934814,1.0,8.049103736877441,1.0,140.28509260088296
522,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,21.860000610351562,1.0,24.911989841234885,1.0,24.927000045776367,1.0,35.436550837821024,1.0,35.27000045776367,1.0,205.1012725830078,1.0,0.18313446640968323,1.0,8.048362731933594,1.0,140.28509260088296
524,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,25.860000610351562,1.0,24.912122679978125,1.0,24.92799949645996,1.0,35.43654683321328,1.0,35.27000045776367,1.0,205.00686645507812,1.0,0.27301931381225586,1.0,8.048057556152344,1.0,140.28509260088296
527,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,31.860000610351562,1.0,24.912823584058042,1.0,24.93000030517578,1.0,35.43655060174829,1.0,35.27000045776367,1.0,205.06332397460938,1.0,0.3364512026309967,1.0,8.047545433044434,1.0,140.28509260088296
529,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,35.86000061035156,1.0,24.912955939320568,1.0,24.930999755859375,1.0,35.43655055788468,1.0,35.27000045776367,1.0,205.0249481201172,1.0,0.32735511660575867,1.0,8.047307014465332,1.0,140.28509260088296
532,2019-05-21 06:50:32.000716288,1,-35.225,29.376,1,41.959999084472656,1.0,24.91063094534326,1.0,24.93000030517578,1.0,35.436550869574134,1.0,35.27000045776367,1.0,204.9097137451172,1.0,0.34758996963500977,1.0,8.046817779541016,1.0,140.28509260088296
